expression	correction
ye[l]+ow[ ]+tail	yellowtail
t[eê][t]+ard	tetard
ar[c]*tica	arctica
holot[h]*urie	holothurie
laminar[ia]+	laminaire
ar[ae]n[e]*us	araneus
bigorneau[x]	buccin
a[l]+igator[e]*	alligator
do[l]+ar[sd]*	dollar
pa[l]+ourde	palourde
qu[oa]ha[u]*g	quahog
l[oa]mp[eo]nie	lompenie
mo[l]+usque	mollusque
mo[l]+usk	mollusk
co[n]combre	concombre
\x82	e
<82>	e
\x8a	e
_ufs	oeufs 
